
BUILDING,Surrounding
//BUILDING,UnderGround


//表头，自然id（从0开始），物品id（从物品表中选取）, 摆放位置x:y:z（例如0:0:0）

GOODS,1,17,1.5:0.5:37.6
GOODS,2,17,1.5:0.5:50.5
GOODS,3,17,0:0.5:19.5
GOODS,4,17,1.5:0.5:11.5
GOODS,5,17,0:0.5:3.5
GOODS,6,18,0:0.5:31
GOODS,7,13,1.5:0:4.5
GOODS,8,13,-1.5:0:13.5
GOODS,9,13,0:0:13.5
GOODS,10,15,0:0.15:51.5
GOODS,12,2,1.5:0.5:43
GOODS,13,1,0:2.2:25.4
GOODS,14,5,1.5:0:23
GOODS,15,5,0:0:25
GOODS,16,5,-1.5:0:23
GOODS,17,5,0:0:39.5
GOODS,18,5,-1.5:0:42
GOODS,19,5,1.5:0:33
GOODS,20,5,0:0:32.5
