
BUILDING,Surrounding
//BUILDING,UnderGround


//表头，自然id（从0开始），物品id（从物品表中选取）, 摆放位置x:y:z（例如0:0:0）

GOODS,1,17,0:0.5:52.5
GOODS,2,17,1.5:0.5:45
GOODS,3,17,0:0.5:35.35
GOODS,4,17,-1.5:0.5:27.5
GOODS,5,17,1.5:0.5:12
GOODS,6,17,-1.5:0.5:3.2
GOODS,7,17,0:0.5:19.7
GOODS,8,15,-1.5:0.2:10
GOODS,9,15,0:0.2:24
GOODS,10,16,-1.5:0.2:42.3
GOODS,11,16,0:0.2:2.5
GOODS,12,6,1.5:0:3.5
GOODS,13,17,-1.5:0.5:5
GOODS,14,17,0:0.5:22
GOODS,15,17,0:0.5:51
GOODS,16,17,-1.5:0.5:42
GOODS,17,17,1.5:0.5:14
GOODS,18,20,0:0.5:34
GOODS,19,13,-1.5:0:48
GOODS,20,13,0:0:39.4
GOODS,21,13,-1.5:0:9.5
GOODS,22,13,1.5:0:52
GOODS,23,5,0:0:13.2
GOODS,24,5,-1.5:0:33
