
BUILDING,Surrounding
//BUILDING,UnderGround


//表头，自然id（从0开始），物品id（从物品表中选取）,摆放位置x:y:z（例如0:0:0）
GOODS,0,5,-1.5:0:17.46
GOODS,1,5,0:0:7.89
GOODS,2,6,-1.5:0:40.45
GOODS,3,6,-1.5:0:36.47
GOODS,4,7,0:0:40
GOODS,5,24,5.7:0:43.69
GOODS,6,24,5.7:0:27.22
GOODS,7,9,-6.3:0:11.62
GOODS,8,17,0:0.5:17.2
GOODS,9,17,0:0.5:48.37
GOODS,10,17,-1.5:0.5:24.34
GOODS,11,17,0:0.5:34.92
GOODS,12,17,1.5:0.5:42.86
GOODS,13,20,0:0.5:6.15
GOODS,14,13,-1.5:0:4.39
GOODS,15,13,1.5:0:4.35
GOODS,16,29,-1.5:0.5:31.92
GOODS,17,29,1.5:0.5:47.86
GOODS,18,29,0:0.5:52.97
GOODS,19,1,-1.5:2.35:17.75
GOODS,20,2,-1.5:1.8:36.6
