
BUILDING,Surrounding
//BUILDING,UnderGround


//表头，自然id（从0开始），物品id（从物品表中选取）,摆放位置x:y:z（例如0:0:0）
GOODS,0,5,1.5:0:22.65
GOODS,1,5,-1.5:0:22.65
GOODS,2,6,1.5:0:42.7
GOODS,3,6,-1.5:0:38.15
GOODS,4,8,-1.5:0:35.42
GOODS,5,8,1.5:0:53.57
GOODS,6,8,-1.5:0:48.41
GOODS,7,24,5.7:0:28.9
GOODS,8,17,1.5:0.5:17
GOODS,9,17,0:0.5:50.43
GOODS,10,17,-1.5:0.5:9.55
GOODS,11,17,0:0.5:23.87
GOODS,12,17,1.5:0.5:35.88
GOODS,13,17,-1.5:0.5:43.61
GOODS,14,29,0:0.5:31.11
GOODS,15,14,-1.5:0:29.81
GOODS,16,14,0:0:3.66
GOODS,17,14,1.5:0:3.7
GOODS,18,1,-1.5:1.8:48.45
