
BUILDING,Surrounding
//BUILDING,UnderGround


//表头，自然id（从0开始），物品id（从物品表中选取）, 摆放位置x:y:z（例如0:0:0）

GOODS,1,17,0:0.5:50.5
GOODS,2,17,-1.5:0.5:41.5
GOODS,3,17,0:0.5:33.5
GOODS,4,17,-1.5:0.5:3.5
GOODS,5,17,1.5:0.5:13.5
GOODS,6,17,0:0.5:22.5
GOODS,7,17,1.5:1.5:42
GOODS,8,18,1.5:0.5:28
GOODS,9,13,0:0:7
GOODS,10,13,-1.5:0:16.8
GOODS,11,13,1.5:0:28
GOODS,12,13,0:0:38
GOODS,13,13,-1.5:0:53.5
GOODS,14,13,0:0:16.8
GOODS,15,13,1.5:0:7
GOODS,16,1,1.5:2.2:46.8
GOODS,17,1,1.5:3.5:27.5
GOODS,18,5,1.5:0:43.6
GOODS,19,5,1.5:0:41.3
GOODS,20,5,1.5:0:39
GOODS,21,5,1.5:0:45.8
