
BUILDING,Surrounding
//BUILDING,UnderGround


//表头，自然id（从0开始），物品id（从物品表中选取）,摆放位置x:y:z（例如0:0:0）
GOODS,0,5,1.5:0:22.65
GOODS,1,5,-1.5:0:18.71
GOODS,2,6,0:0:40.17
GOODS,3,6,-1.5:0:36.47
GOODS,4,7,-1.5:0:40.1
GOODS,5,8,-1.5:0:33.95
GOODS,6,8,1.5:0:53.57
GOODS,7,24,5.7:0:45
GOODS,8,17,0:0.5:19.47
GOODS,9,17,-1.5:0.5:52
GOODS,10,17,-1.5:0.5:9.51
GOODS,11,17,-1.5:0.5:27.45
GOODS,12,17,1.5:0.5:35.88
GOODS,13,17,0:0.5:44.55
GOODS,14,13,0:0:14.1
GOODS,15,13,1.5:0:14.1
GOODS,16,29,-1.5:0.5:31.92
GOODS,17,29,1.5:0.5:43.8
GOODS,18,2,0:0.35:12.75
