
BUILDING,Surrounding
//BUILDING,UnderGround


//表头，自然id（从0开始），物品id（从物品表中选取）,摆放位置x:y:z（例如0:0:0）
GOODS,0,5,-1.5:0:22.85
GOODS,1,5,-1.5:0:14.84
GOODS,2,6,0:0:40.17
GOODS,3,6,-1.5:0:36.47
GOODS,4,7,1.5:0:40
GOODS,5,8,-1.5:0:33.94
GOODS,6,8,1.5:0:53.57
GOODS,7,24,5.7:0:26.81
GOODS,8,9,-5.58:0:28.9
GOODS,9,17,0:0.5:19.47
GOODS,10,17,-1.5:0.5:52.25
GOODS,11,17,0:0.5:7.2
GOODS,12,17,1.5:0.5:19.46
GOODS,13,17,0:0.5:34.92
GOODS,14,17,0:0.5:46.15
GOODS,15,13,-1.5:0:4.39
GOODS,16,13,1.5:0:4.35
GOODS,17,29,-1.5:0.5:31.92
GOODS,18,29,1.5:0.5:43.8
GOODS,19,29,-1.5:0.5:47.74
GOODS,20,29,0:0.5:52.44
GOODS,21,1,-1.5:0.5:20.29
