
//表头，自然id（从0开始），物品名（跟预制名一致）

ITEM,0,Coin
ITEM,1,Blood
ITEM,2,Bomb
ITEM,3,Magnet
ITEM,4,Star
ITEM,5,CarA
ITEM,6,CarB
ITEM,7,CarC
ITEM,8,CarD
ITEM,9,CarE_Left
ITEM,10,CarF_Left
ITEM,11,CityBus
ITEM,12,SchoolBus
ITEM,13,RoadBarrier
ITEM,14,WoodBarrier
ITEM,15,SignTurnLeft
ITEM,16,SignTurnRight
ITEM,17,Cointype-1
ITEM,18,Cointype-2
ITEM,19,Cointype-3
ITEM,20,Cointype-4
ITEM,21,TutorialTurnLeft
ITEM,22,TutorialTurnRight
ITEM,23,TutorialJump
ITEM,24,CarE_Right
ITEM,25,CarF_Right
ITEM,26,ZomG
ITEM,27,WeatherLargelRainy
ITEM,28,WeatherSmallRainy
ITEM,29,Barrel_Forward
ITEM,30,TutorialHitZombie
ITEM,31,CarB_Forward
ITEM,32,CarC_Forward
ITEM,33,TutorialStar
ITEM,34,TutorialCure
ITEM,35,TutorialBomb
